नाम-संख्या	नाम	प्रातिपदिकं	अन्त्यवर्णः	लिङ्गम्
१	विश्वम्	विश्व	अ	न
२	विष्णुः	विष्णु	उ	पुं
३	वषट्कारः	वषट्कार	अ	पुं
४	भूतभव्यभवत्प्रभुः	भूतभव्यभवत्प्रभु	उ	पुं
५	भूतकृत्	भूतकृत्	त्	पुं
६	भूतभृत्	भूतभृत्	त्	पुं
७	भावः	भाव	अ	पुं
८	भूतात्मा	भूतात्मन्	न्	पुं
९	भूतभावनः	भूतभावन	अ	पुं
१०	पूतात्मा	पूतात्मन्	न्	पुं
११	परमात्मा	परमात्मन्	न्	पुं
१२	मुक्तानां परमा गतिः	मुक्तानां परमा गति	इ	स्त्री
१३	अव्ययः	अव्यय	अ	पुं
१४	पुरुषः	पुरुष	अ	पुं
१५	साक्षी	साक्षिन्	न्	पुं
१६	क्षेत्रज्ञः	क्षेत्रज्ञ	अ	पुं
१७	अक्षरः	अक्षर	अ	पुं
१८	योगः	योग	अ	पुं
१९	योगविदां नेता	योगविदां नेता	ऋ	पुं
२०	प्रधानपुरुषेश्वरः	प्रधानपुरुषेश्वर	अ	पुं
२१	नारसिंहवपुः	नारसिंहवपुस्	स्	पुं
२२	श्रीमान्	श्रीमत्	त्	पुं
२३	केशवः	केशव	अ	पुं
२४	पुरुषोत्तमः	पुरुषोत्तम	अ	पुं
२५	सर्वः	सर्व	अ	पुं
२६	शर्वः	शर्व	अ	पुं
२७	शिवः	शिव	अ	पुं
२८	स्थाणुः	स्थाणु	उ	पुं
२९	भूतादिः	भूतादि	इ	पुं
३०	निधिरव्ययः	निधिरव्यय	अ	पुं
३१	संभवः	संभव	अ	पुं
३२	भावनः	भावन	अ	पुं
३३	भर्ता	भर्तृ	ऋ	पुं
३४	प्रभवः	प्रभव	अ	पुं
३५	प्रभुः	प्रभु	उ	पुं
३६	ईश्वरः	ईश्वर	अ	पुं
३७	स्वयम्भूः	स्वयम्भू	ऊ	पुं
३८	शम्भुः	शम्भु	उ	पुं
३९	आदित्यः	आदित्य	अ	पुं
४०	पुष्कराक्षः	पुष्कराक्ष	अ	पुं
४१	महास्वनः	महास्वन	अ	पुं
४२	अनादिनिधनः	अनादिनिधन	अ	पुं
४३	धाता	धातृ	ऋ	पुं
४४	विधाता	धातृ	ऋ	पुं
४५	धातुरुत्तमः	धातुरुत्तम	अ	पुं
४६	अप्रमेयः	अप्रमेय	अ	पुं
४७	हृषीकेशः	हृषीकेश	अ	पुं
४८	पद्मनाभः	पद्मनाभ	अ	पुं
४९	अमरप्रभुः	अमरप्रभु	उ	पुं
५०	विश्वकर्मा	विश्वकर्मन्	न्	पुं
५१	मनुः	मनु	उ	पुं
५२	त्वष्टा	त्वष्टृ	ऋ	पुं
५३	स्थविष्ठः	स्थविष्ठ	अ	पुं
५४	स्थविरः	स्थविर	अ	पुं
५५	ध्रुवः	ध्रुव	अ	पुं
५६	अग्राह्यः	अग्राह्य	अ	पुं
५७	शाश्वतः	शाश्वत	अ	पुं
५८	कृष्णः	कृष्ण	अ	पुं
५९	लोहिताक्षः	लोहिताक्ष	अ	पुं
६०	प्रतर्दनः	प्रतर्दन	अ	पुं
६१	प्रभूतः	प्रभूत	अ	पुं
६२	त्रिककुब्धाम	त्रिककुब्धामन्	न्	पुं
६३	पवित्रम्	पवित्र	अ	न
६४	मङ्गलं परम्	मङ्गलं परम्	अ	न
६५	ईशानः	ईशान	अ	पुं
६६	प्राणदः	प्राणद	अ	पुं
६७	प्राणः	प्राण	अ	पुं
६८	ज्येष्ठः	ज्येष्ठ	अ	पुं
